,sender,receiver,confirmed_round,amount,asset_id,transaction_id
0,ABQHZLNGGPWWZVA5SOQO3HBEECVJSE3OHYLKACOTC7TC4BS52ZHREPF7QY,4RARTDU4MZARVQIXUK5FSRQCIJTP35POCZHTUEF3AIEMXSDV7KHII6XP4E,18933310,32217351,31566704,XOS6Q5R4JBEJEMUNWSVU6WYYR45ZHM4KXHRUL3JLV2FUQEX5XSYA
0,ABQHZLNGGPWWZVA5SOQO3HBEECVJSE3OHYLKACOTC7TC4BS52ZHREPF7QY,NB5OFLNJIZHV3VV5I7VXB57CUFMKD25IEIIGBAA4GTGBH33OLN3GLU74AA,18933188,270000000,31566704,XCAECK4OP5YGIH77NMWRQAIJDMOCEKOLPUU5T74HZ3QCK24JSWGQ
0,H76JXSAJL7N7VODW6MQH5QJD3VR6MKTTSTWS4HBJR4MTB4SJ67DEHFWQEY,ABQHZLNGGPWWZVA5SOQO3HBEECVJSE3OHYLKACOTC7TC4BS52ZHREPF7QY,0,965203090,31566704,0
0,ABQHZLNGGPWWZVA5SOQO3HBEECVJSE3OHYLKACOTC7TC4BS52ZHREPF7QY,S6R3LXE7O3VABPA7DJ4LZHXIUUP6UGLU4V2ZBY4XXR22CZROKU7VNIVMDQ,18932744,1000000000,31566704,2MOTLHSCFMZIRDFKFS4ZOXGILPR5CYGBTUDJPU47SWN262RHTTIQ
0,TORY56FCGWXBTPMDCXAWFIGO33CCFN2NGUU2G7TXUIKLPR7UDJ6KHS5K7A,ABQHZLNGGPWWZVA5SOQO3HBEECVJSE3OHYLKACOTC7TC4BS52ZHREPF7QY,0,800800358,31566704,0
0,ABQHZLNGGPWWZVA5SOQO3HBEECVJSE3OHYLKACOTC7TC4BS52ZHREPF7QY,TORY56FCGWXBTPMDCXAWFIGO33CCFN2NGUU2G7TXUIKLPR7UDJ6KHS5K7A,18932480,799987,31566704,U3W3RMSOLSUTXUMIUCHC4NKNP6M5AP25Q3RBA5TZNTQJLYQPL3VA
0,ABQHZLNGGPWWZVA5SOQO3HBEECVJSE3OHYLKACOTC7TC4BS52ZHREPF7QY,TORY56FCGWXBTPMDCXAWFIGO33CCFN2NGUU2G7TXUIKLPR7UDJ6KHS5K7A,18932417,800000000,31566704,7JI4OJ7OVABOHJ4H2637BOZYDU452RJW4ZTBRFLWBGNZXU5F4UKA
0,ABQHZLNGGPWWZVA5SOQO3HBEECVJSE3OHYLKACOTC7TC4BS52ZHREPF7QY,J3NFTUG4FSDUEBMLBGMZIEQDVF23QNZPSNUXCEMGYNU3LGOCQMNUBRZITA,18932282,501000000,31566704,UHPDIXIZITI5HZR2L54YYGUPRF57FB7W4I327NMLXRKQZKCJMQDQ
0,M6DGARECI4RCRLQVEQVXSYMQPGNQPHT2SULNFPB3AWKUGGOJLQS7L3PJYU,ABQHZLNGGPWWZVA5SOQO3HBEECVJSE3OHYLKACOTC7TC4BS52ZHREPF7QY,0,934970485,31566704,0
0,ABQHZLNGGPWWZVA5SOQO3HBEECVJSE3OHYLKACOTC7TC4BS52ZHREPF7QY,M6DGARECI4RCRLQVEQVXSYMQPGNQPHT2SULNFPB3AWKUGGOJLQS7L3PJYU,18932094,934970485,31566704,TRZDNIEIU3X2TBAX7AUEROSBIN7SXGREVDTXFNQWJ6L7KKYF6XNA
0,TORY56FCGWXBTPMDCXAWFIGO33CCFN2NGUU2G7TXUIKLPR7UDJ6KHS5K7A,ABQHZLNGGPWWZVA5SOQO3HBEECVJSE3OHYLKACOTC7TC4BS52ZHREPF7QY,0,417617003,31566704,0
0,ABQHZLNGGPWWZVA5SOQO3HBEECVJSE3OHYLKACOTC7TC4BS52ZHREPF7QY,TORY56FCGWXBTPMDCXAWFIGO33CCFN2NGUU2G7TXUIKLPR7UDJ6KHS5K7A,18932013,417190,31566704,LYQ4SRUNPVYYAOFVTRTCSTPFGAJJEZL2MB7EMNYQSCPGISUHXZEA
0,3DALQSCGSMRZE6SXAPXWI5EFH65EF7XXL4OU3666IGGJRKGXIRIURUSO3M,ABQHZLNGGPWWZVA5SOQO3HBEECVJSE3OHYLKACOTC7TC4BS52ZHREPF7QY,0,4365930,31566704,0
0,ABQHZLNGGPWWZVA5SOQO3HBEECVJSE3OHYLKACOTC7TC4BS52ZHREPF7QY,TORY56FCGWXBTPMDCXAWFIGO33CCFN2NGUU2G7TXUIKLPR7UDJ6KHS5K7A,18931540,417198328,31566704,R4PQJAKNI2EFPIJ277NT4XMX3NI4QASDE7OROF2KQ5BRFCD7JJGA
0,ABQHZLNGGPWWZVA5SOQO3HBEECVJSE3OHYLKACOTC7TC4BS52ZHREPF7QY,S6R3LXE7O3VABPA7DJ4LZHXIUUP6UGLU4V2ZBY4XXR22CZROKU7VNIVMDQ,18931525,2036736153,31566704,Y7HZMAZZKKL7EV3CBTNUSBF2SNJ2VHLYHHCHNUJSPW5BF34SFYBA
0,TORY56FCGWXBTPMDCXAWFIGO33CCFN2NGUU2G7TXUIKLPR7UDJ6KHS5K7A,ABQHZLNGGPWWZVA5SOQO3HBEECVJSE3OHYLKACOTC7TC4BS52ZHREPF7QY,0,417892480,31566704,0
0,ABQHZLNGGPWWZVA5SOQO3HBEECVJSE3OHYLKACOTC7TC4BS52ZHREPF7QY,TORY56FCGWXBTPMDCXAWFIGO33CCFN2NGUU2G7TXUIKLPR7UDJ6KHS5K7A,18931465,417466,31566704,PEYZWDBWCPYMVGQEKDGCO65MCZIAUFLE44UW3SB3EZQ26B6NT5YA
0,ABQHZLNGGPWWZVA5SOQO3HBEECVJSE3OHYLKACOTC7TC4BS52ZHREPF7QY,TORY56FCGWXBTPMDCXAWFIGO33CCFN2NGUU2G7TXUIKLPR7UDJ6KHS5K7A,18931367,417474713,31566704,O2H4NNCEMAYZZCRV45RQSLW5H743LT357HV6UOSXKOIHKFYB2SVQ
0,ABQHZLNGGPWWZVA5SOQO3HBEECVJSE3OHYLKACOTC7TC4BS52ZHREPF7QY,FSQZZC4ZXDOKYZEF5GXZU4BRCRKXYR545ZJSKUWU6XEHC2OHLR6MMOJPCI,18931350,200000000,31566704,LRWJQTN5UAF7QQ7XMV47NQAVXCHMWNMPQAJT75BLCURRKYDGCRSQ
0,ABQHZLNGGPWWZVA5SOQO3HBEECVJSE3OHYLKACOTC7TC4BS52ZHREPF7QY,RED6CKYRAOGMRC4UR3ZO5MP5B6L6HVVJ77T4MNZYWJBTCLVQVB76DTMYVU,18931143,275000000,31566704,MAFXWSZ25AH2DOIFETTO6XHFY4GD6NBL4HXRPZG2EHEV4E4AH7AA
